time,P
2023-11-29 12:29:01.3960,100604.26
2023-11-29 12:29:02.4010,100603.98
2023-11-29 12:29:03.3960,100603.61
2023-11-29 12:29:04.4010,100603.24
2023-11-29 12:29:05.4040,100602.82
2023-11-29 12:29:06.4110,100602.45
2023-11-29 12:29:07.3970,100602.13
2023-11-29 12:29:08.4020,100601.87
2023-11-29 12:29:09.4080,100601.76
2023-11-29 12:29:10.4030,100601.65
2023-11-29 12:29:11.4080,100601.59
2023-11-29 12:29:12.4030,100601.16
2023-11-29 12:29:13.4080,100601.02
2023-11-29 12:29:14.4030,100600.9
2023-11-29 12:29:15.4080,100599.56
2023-11-29 12:29:16.4120,100597.29
2023-11-29 12:29:17.4170,100595.14
2023-11-29 12:29:18.4040,100590.87
2023-11-29 12:29:19.4090,100584.42
2023-11-29 12:29:20.4140,100578.68
2023-11-29 12:29:21.4090,100573.75
2023-11-29 12:29:22.4140,100567.5
2023-11-29 12:29:23.4090,100562.37
2023-11-29 12:29:24.4140,100559.22
2023-11-29 12:29:25.4090,100556.47
2023-11-29 12:29:26.4140,100553.28
2023-11-29 12:29:27.4190,100551.79
2023-11-29 12:29:28.4240,100550.11
2023-11-29 12:29:29.4100,100548.77
2023-11-29 12:29:30.4150,100547.98
2023-11-29 12:29:31.4200,100547.98
2023-11-29 12:29:32.4160,100548.8
2023-11-29 12:29:33.4210,100551.04
2023-11-29 12:29:34.4160,100554.29
2023-11-29 12:29:35.4210,100557.21
2023-11-29 12:29:36.4150,100561.29
2023-11-29 12:29:37.4210,100564.54
2023-11-29 12:29:38.4160,100566.81
2023-11-29 12:29:39.4290,100568.16
2023-11-29 12:29:40.4160,100570.12
2023-11-29 12:29:41.4220,100572.06
2023-11-29 12:29:42.4270,100575.07
2023-11-29 12:29:43.4220,100578.39
2023-11-29 12:29:44.4270,100581.44
2023-11-29 12:29:45.4220,100584.2
2023-11-29 12:29:46.4260,100586.99
2023-11-29 12:29:47.4220,100589.54
2023-11-29 12:29:48.4270,100591.58
2023-11-29 12:29:49.4290,100594.12
2023-11-29 12:29:50.4320,100596.89
2023-11-29 12:29:51.4230,100598.42
